Name,Description,Link,Unit Cost in €,Quantity,Price in €,Shipping Cost,Total
C1,10uF 0805 Capacitor,https://www.lcsc.com/product-detail/C95841.html?s_z=n_q_t_Capacitors&spm=wm.fly.bg.6.xh___wm.ssy.tc.0.tz&lcsc_vid=Q1JYUFwDTgBYAVFWFVJbUwVfQ1BdVFFQRQBZXlEFE1MxVlNeR1FWVVFSQVNYUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVaSQwSGg0%3D,"0,03","10,00","0,34","18,91",
"C2, C3",150pF 0603 Capacitor,https://www.lcsc.com/product-detail/C37298.html?s_z=n_q_t_Capacitors&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=Q1JYUFwDTgBYAVFWFVJbUwVfQ1BdVFFQRQBZXlEFE1MxVlNeR1FWVVFSQVNYUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVaSQwSGg0%3D,"0,01","50,00","0,41","18,91",
C4,22uF 0805 Capacitor,https://www.lcsc.com/product-detail/C602037.html?s_z=n_q_t_Capacitors&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=Q1JYUFwDTgBYAVFWFVJbUwVfQ1BdVFFQRQBZXlEFE1MxVlNeR1FWVVFSQVNYUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVaSQwSGg0%3D,"0,00","100,00","0,48","18,91",
C5,1000uF Electrolytic Capacitors 10mm*5mm,https://www.lcsc.com/product-detail/C1579458.html?s_z=n_q_ESY108M010AH2EA%2520&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUlRUR1RcUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,15","1,00","0,15","18,91",
C7,100nF 0603 Capacitor,https://www.lcsc.com/product-detail/C77058.html?s_z=s_c_Ceramic%2520Capacitors&spm=wm.fly.bg.26.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUlZfQ1hfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVeSQwSGg0%3D,"0,03","1,00","0,03","18,91",
C8,100uF Electrolytic 6.3mm 11mm Capacitor,https://www.lcsc.com/product-detail/C135785.html?s_z=s_p_35PX100MEFC6.3X11&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUl1TRVdaVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,05","5,00","0,26","18,91",
C9,100nF 0805 Capacitor,https://www.lcsc.com/product-detail/C1711.html?s_z=s_c_Ceramic%2520Capacitors&spm=wm.fly.bg.1.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUVVQR1RZUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlJbUFxTWQkaCgg%3D,"0,01","50,00","0,35","18,91",
D2,Schottky-Diode 3A,https://www.lcsc.com/product-detail/C7436556.html?s_z=n_q_B340%2520DO-214AB&spm=wm.fly.bg.1.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUVBQQ1NXUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,06","10,00","0,63","18,91",
FB1,Ferrite Bead 0805 300 ohm 2A,https://www.lcsc.com/product-detail/C67451.html?s_z=n_q_Ferrite%2520Bead%25200805%2520300%2520ohm%25202A&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUVNVQlJWUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFVdUVFTQU8GEwkK,"0,02","50,00","0,78","18,91",
J1,femal connentor with pi ,https://www.lcsc.com/product-detail/C50980.html?s_z=n_q_p_Female%2520Header%25202.54mm%25202x20%2520vertical&spm=wm.ssy.bg.2.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUV1QQ1ZcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQVZaUlVIHxUDCw%3D%3D,"0,20","5,00","0,99","18,91",
J2,JST-GH 1x03-1MP_P1.25mm_Vertical,https://www.lcsc.com/product-detail/C161691.html?s_z=n_q_BM03B-GHS-TBT&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUFdXRlNYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlFXX1RIHxUDCw%3D%3D,"0,67","1,00","0,67","18,91",
J3,JST-XH 1x04,https://www.lcsc.com/product-detail/C144395.html?s_z=s_p_B4B-XH-A%28LF%29%28SN%29&spm=wm.fly.bg.2.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUFBTQFlbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,05","10,00","0,48","18,91",
J4,JST-GH 1x03-1MP_P1.25mm_Horizontal,https://www.lcsc.com/product-detail/C514175.html?s_z=s_p_SM03B-GHS-TB%28LF%29%28SN%29&spm=wm.fly.bg.1.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUFFRQFdXVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,12","5,00","0,60","18,91",
"J5, J6",XT30-Female Vertical,https://www.lcsc.com/product-detail/C19268023.html?s_z=n_q_Amass%2520XT30U%2520&spm=wm.fly.bg.3.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWUFxSQVNYXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,21","5,00","1,06","18,91",
J7,JST-GH 1x02 vertical,https://www.lcsc.com/product-detail/C161690.html?s_z=n_q_BM02B-GHS-TBT&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWX1RQQlheUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlhcUVxWRVJADxALGw%3D%3D,"0,18","5,00","0,91","18,91",
"J8, J9, J10",JST-GH 1x05 Vertical,https://www.lcsc.com/product-detail/C189891.html?s_z=n_q_BM05B-GHS-TBT&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWX1VRRVRfUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRldfUV1WWQkaCgg%3D,"0,30","5,00","1,51","18,91",
J11,JST-GH 1x05 Horizontal,https://www.lcsc.com/product-detail/C189896.html?s_z=n_q_SM05B-GHS-TB,"0,18","5,00","0,89","18,91",
L1,Inductor 7.3x7.3_4.5H 15uH 5A,https://www.lcsc.com/product-detail/C7461222.html?spm=wm.fly.bg.11.xh&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcVFBQTlFcUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D,"0,88","1,00","0,88","18,91",
